name|sex|oldName|nation|birthday|political_status|card|tel|address
周愚|男|周愚|回族|1950-11-03|群众|320111195011035164|15381160234|上海
ENJOY 精选美食电商|女|ENJOY 精选美食电商|壮族|1952-11-14|群众|440523195211142022|13282962500|
胖胖|女|胖胖|朝鲜族|2001-12-01|群众|440804200112019134|18376141205|武汉
世界华人周刊|女|世界华人周刊|藏族|1995-05-08|党员|222424199505084593|14928760647|温哥华
顾惜朝|女|顾惜朝|维吾尔族|1969-04-06|团员|23000019690406936X|18667080448|北京
范饭飯笵|男|范饭飯笵|壮族|2008-01-13|党员|220122200801138773|13120237286|北京
王司图|男|王司图|彝族|1936-10-20|团员|350703193610205005|15779615004|北京
一荼荼|男|一荼荼|白族|1934-11-16|党员|330329193411161466|13162190993|广州市
古斯塔夫|男|古斯塔夫|蒙古族|1952-02-16|党员|350125195202163621|15355954334|杭州
蒋校长|男|蒋校长|土家族|1934-10-13|团员|45112219341013483X|14786739242|
不溜過客|男|不溜過客|哈尼族|2018-04-26|群众|460105201804266618|15139791967|中國台灣省
好姑娘灰头土脸|女|好姑娘灰头土脸|布依族|1948-04-20|群众|512022194804202328|13161216171|
沪江|女|沪江|瑶族|1998-05-26|团员|610500199805267805|15091212073|
王洪浩|男|王洪浩|维吾尔族|1982-08-23|群众|520600198208236890|14517639915|北京市
橡果|女|橡果|白族|1965-04-12|团员|522700196504122618|15878438118|北京
FOTILE方太|女|FOTILE方太|黎族|1943-12-23|群众|220283194312230894|17541355349|
红盾局长克里斯|男|红盾局长克里斯|侗族|2011-03-29|团员|610822201103296235|13315103409|北京
PonyWorldWar|男|PonyWorldWar|哈萨克族|2011-03-01|团员|110108201103018530|15843491641|
知一声|女|知一声|白族|1982-11-02|群众|23088219821102692X|17564596366|
乔牧心|女|乔牧心|满族|2008-12-07|群众|130621200812072545|17054584023|北京市
叶清波|男|叶清波|彝族|2001-01-02|群众|210400200101029767|17567983537|湖南长沙
我是郭杰瑞|男|我是郭杰瑞|瑶族|1987-11-14|群众|450127198711147929|15878811999|美国
Mad dog|男|Mad dog|瑶族|1973-02-25|党员|340121197302254450|18551796334|
Derrick Zhang|男|Derrick Zhang|维吾尔族|1949-06-22|团员|350603194906228870|18259704623|上海市
卢诗翰|男|卢诗翰|瑶族|1948-08-30|群众|440308194808309367|13211475377|宁波市
返朴|男|返朴|土家族|1944-03-05|团员|510302194403056533|14954590006|
炉石传说控|女|炉石传说控|哈萨克族|1963-03-17|群众|13020819630317463X|17785863978|
青石|男|青石|藏族|1999-03-25|群众|340124199903258287|15111699475|上海
吴珂|男|吴珂|维吾尔族|1987-11-12|党员|420984198711121353|15033588162|深圳市
叶赌徒|男|叶赌徒|土家族|1930-04-11|群众|520526193004116999|18223260589|伦敦市（City of London）
目目老湿|男|目目老湿|壮族|2012-11-23|团员|321101201211236063|14958349930|广东
Comrade|男|Comrade|蒙古族|1958-05-23|党员|330703195805232420|13096846469|湖南农业大学
李枝蔚|女|李枝蔚|壮族|1941-09-19|群众|513226194109194773|18512038953|纽约
张小哈|女|张小哈|哈尼族|1984-06-06|党员|420683198406063561|13189066154|上海
姚冬|男|姚冬|侗族|1981-04-11|群众|341802198104117943|14540198522|广州
一个男人在流浪|男|一个男人在流浪|哈尼族|1971-10-10|群众|542623197110105337|13810271432|
逗砂|女|逗砂|朝鲜族|1979-02-12|党员|32030219790212747X|14961087788|北京
GGBond|男|GGBond|布依族|1967-10-15|群众|52232219671015449X|13683300153|浙江
李翛然|女|李翛然|藏族|1977-06-27|团员|150200197706273840|14527463338|北京市
孟德尔|男|孟德尔|朝鲜族|1983-01-03|团员|510921198301033090|15695208994|
Sleeper|女|Sleeper|汉族|1937-10-16|团员|411729193710161143|18489878921|
Luna Li|女|Luna Li|回族|1997-08-25|党员|36073119970825335X|14971415151|
周迪|男|周迪|蒙古族|1940-02-12|群众|210102194002129752|14555989028|深圳市
坛子鸦|男|坛子鸦|哈萨克族|1983-03-26|党员|32040219830326427X|15827611909|漫画
Mr1900|男|Mr1900|维吾尔族|1959-07-04|团员|622921195907046981|13142353006|新加坡
